tree_dbh_cm,tree_dbh_inch,tree_basal_area_sqft,basal_area_per_acre_sqft,Transect,Plot,Species_common name,Species,Tree_tag,Latitude ,Longitude,elevation_m_NAVD88,elevation_m_MHW,elevation_m_MSL,ns1:ele,ns1:time2,notes
15.0,5.905515,0.19020883584263715,3.804176716852743,1,1,Scarlet oak,,1801,40.7796140201389,-72.8963000234216,,,,6.19558,2025-09-26T16:18:14Z,
11.1,4.3700811,0.1041583585074281,2.0831671701485623,1,1,Eastern red cedar,,1802,40.7795769721269,-72.8963479679077,,,,6.979357,2025-09-26T16:14:06Z,
11.6,4.5669316,0.11375333755993447,2.2750667511986893,1,1,White oak,,1803,40.7795469649136,-72.8963420167565,,,,7.576522,2025-09-26T16:15:12Z,
7.2,2.8346472,0.043824115778143595,0.8764823155628719,1,1,Eastern red cedar,,1804,40.7795609626919,-72.8962519951164,,,,6.466169,2025-09-26T16:16:47Z,
18.3,7.204728300000001,0.2831068312681812,5.662136625363624,1,1,White oak,,1805,40.7796239946037,-72.8963079862296,,,,6.979357,2025-09-26T16:19:50Z,
9.4,3.7007894000000006,0.07469712326691298,1.4939424653382596,1,1,White oak,,1806,40.7796420156955,-72.8962909709662,,,,8.09904,2025-09-26T16:21:41Z,
13.6,5.3543336,0.1563601167886852,3.127202335773704,1,1,Red Maple,,1807,40.7796540018171,-72.8962649870663,,,,10.273091,2025-09-26T16:23:03Z,
20.1,7.913390100000001,0.3415389856390393,6.830779712780785,1,1,Whie oak,,1808,40.7796430215239,-72.8963219840079,,,,8.145694,2025-09-26T16:24:17Z,
51.8,20.3937118,2.268337585272878,45.36675170545756,1,2,Pitch pine,,1809,40.7796990126371,-72.8965959884226,,,,6.988688,2025-09-26T16:42:01Z,
50.0,19.68505,2.113431509362635,42.2686301872527,1,2,Pitch pine,,1810,40.7797000184655,-72.8966040350496,,,,7.324593,2025-09-26T16:39:29Z,
12.1,4.7637821,0.12377100291431337,2.475420058286267,1,2,White oak,,1811,40.7797639723867,-72.8965219762176,,,,9.75057299999999,2025-09-26T16:47:11Z,
20.0,7.874020000000001,0.33814904149802166,6.7629808299604335,1,2,Scarlet oak,,1812,40.7797619607299,-72.8966030292212,,,,10.310414,2025-09-26T16:46:45Z,
31.6,12.440951600000002,0.8441552671956613,16.883105343913225,1,2,Scarlet oak,,1813,40.7796809915453,-72.8966590203344,,,,9.526636,2025-09-26T16:48:48Z,
15.4,6.0629954,0.200488566704177,4.00977133408354,1,2,White oak,,1814,40.7796890381723,-72.896649967879,,,,10.3663989999999,2025-09-26T16:50:59Z,
21.6,8.503941600000001,0.3944170420032925,7.888340840065849,1,2,White oak,,1815,40.779683003202,-72.8966580145061,,,,9.526636,2025-09-26T16:49:43Z,
2.4,0.9448824,0.004869346197571511,0.09738692395143023,1,2,Black gum,,1816,40.7796970009803,-72.8966610319912,,,,10.067817,2025-09-26T16:51:39Z,
2.7,1.0629927000000001,0.006162766281301445,0.1232553256260289,1,2,Black gum,,1817,40.7797089871019,-72.8966839984059,,,,9.75057299999999,2025-09-26T16:54:21Z,
7.7,3.0314977,0.05012214167604425,1.002442833520885,1,2,Black gum,,1818,40.779719967395,-72.8966890275478,,,,10.002501,2025-09-26T16:55:07Z,
20.1,7.913390100000001,0.3415389856390393,6.830779712780785,1,2,Black gum,,1819,40.7797239907085,-72.8966929670423,,,,9.144078,2025-09-26T16:55:48Z,
8.4,3.3070884000000005,0.05964949092025102,1.1929898184050205,1,2,Black gum,,1820,40.7797290198504,-72.8966900333762,,,,9.722581,2025-09-26T16:56:45Z,
24.3,9.566934300000002,0.4991840687854171,9.983681375708342,1,3,Scarlet oak,,1821,40.7798799779266,-72.8968819789588,,,,11.570058,2025-09-26T17:12:41Z,
24.9,9.803154900000001,0.524139468047971,10.48278936095942,1,3,Scarlet oak,,1822,40.7798649743199,-72.8969079628586,,,,12.241868,2025-09-26T17:14:53Z,
24.5,9.6456745,0.5074349053979686,10.148698107959373,1,3,White oak,,1823,40.7798750326037,-72.896848032251,,,,11.8033249999999,2025-09-26T17:10:47Z,
38.9,15.3149689,1.279226277713053,25.58452555426106,1,3,Scarlet oak,,1824,40.7798339612782,-72.8968920372426,,,,11.290137,2025-09-26T17:05:54Z,
22.0,8.661422,0.40916034021260606,8.183206804252121,1,3,White oak,,1825,40.7798720151185,-72.8968539834022,,,,12.260529,2025-09-26T17:11:05Z,
41.4,16.2992214,1.4489348279148726,28.97869655829745,1,3,Scarlet oak,,1826,40.7798489648848,-72.8968669753521,,,,11.766003,2025-09-26T17:07:33Z,
28.9,11.3779589,0.7060636523739063,14.121273047478127,1,3,Northern red oak,,1827,40.7797929737716,-72.8969170153141,,,,10.571673,2025-09-26T17:03:52Z,
34.9,13.7401649,1.029672285087513,20.593445701750262,1,3,Scarlet oak,,1828,40.7797730248421,-72.896901005879,,,,10.338407,2025-09-26T17:01:58Z,
18.9,7.4409488999999995,0.30197554778377067,6.039510955675413,1,3,Scarlet oak,,1829,40.7797750364989,-72.8968750219792,,,,11.0382079999999,2025-09-26T17:01:00Z,
